resref,status,areas,occurrences,frames,max_frame_size_x1,format,correction_id,notes
1400T001,écarté,AR1400;AR1404,2,1,255x255,BAM V1,,"Arbre nu des Ruines du temple, partage AR1400 (cycle jour/nuit) et AR1404 (nuit permanente). 1 frame, 255x255, alpha 1 bit, silhouette eclatee (29 a 342 composantes, 116 a 580 trous) : ni interpolation 30 fps possible (frame unique), ni lissage spline applicable (build_spline_alpha_mask.py n'ajuste que la plus grande silhouette fermee et supprimerait le branchage). x4 SeedVR2 7B/LAB produit le 2026-08-28 (run ar1400-all-bam-seedvr7b-lab-x4), techniquement sain : alpha strictement egal au plus proche voisin de la source, luminance intra-masque -0,5 a -0,8 % (SeedVR n'a pas eclairci), flag ARE Blended absent. ECARTE POUR UN DEFAUT DE RENDU, PAS POUR UN DEFAUT D'ASSET. Le chemin x4 des animations de zone lie une texture RGBA pre-cuite et ne recoit jamais la palette realisee par CVidPalette::Realize (le commentaire de src/iee/area_animation_x4_registry.h le dit explicitement : la composition creature la consomme, celle des animations de zone la laisse nulle). L'eclairage de zone n'est donc pas applique a notre texture alors qu'il l'est au BAM vanilla. Mesure sur les light maps du jeu, sur l'emprise de la ressource : facteur jour AR1400LM [0.842,0.842,0.864] soit 1,19x trop clair (imperceptible, QA de jour acceptee le 2026-08-28), facteur nuit AR1400LN [0.441,0.420,0.558] soit 2,27/2,38/1,79x trop clair donc aussi trop CHAUD (QA de nuit refusee le 2026-08-28, sur AR1400 comme sur AR1404). AR1404LM est identique octet pour octet a AR1400LN : AR1404 est en nuit permanente. Retire des packs des deux zones le 2026-08-28 ; AR1404 n'a plus aucun pack et le moteur y rend ses BAM d'origine (trace 'no pack for area AR1404' verifiee dans le journal). RESERVE, AMELIORATION POSSIBLE : la correction existe et est mesuree. pipeline/scripts/build_area_lightmap_pack.py re-applique l'eclairage (rgb = rgb * lightmap(monde)/255, alpha inchange) et ramene l'ecart a la colorimetrie vanilla de nuit de MAE 25,69/255 a 2,16/255. Essayee en jeu le 2026-08-28 sur 1400T005 seulement (temoin du lot) : rendu juge laid par l'utilisateur, non retenu ; les quatre autres arbres n'ont pas ete corriges. Limite structurelle : une texture cuite ne porte qu'un seul etat d'eclairage, donc corriger la nuit d'AR1400 rend le jour ~1,9x trop sombre ; seules les zones a eclairage fixe comme AR1404 sont pleinement recuperables par cette voie. Le vrai correctif est moteur : faire consommer au chemin x4 la palette realisee, comme le fait deja le chemin creature. Run x4, script et lot de test conserves (animations/packs-par-zone/combined-20260828-ar1400-t005-nightlight, essai limite a 1400T005). CONDITION DE REOUVERTURE : correctif moteur de l'eclairage, ou zone a eclairage fixe."
1400T002,écarté,AR1400;AR1404,2,1,255x255,BAM V1,,"Arbre nu des Ruines du temple, partage AR1400 (cycle jour/nuit) et AR1404 (nuit permanente). 1 frame, 255x255, alpha 1 bit, silhouette eclatee (29 a 342 composantes, 116 a 580 trous) : ni interpolation 30 fps possible (frame unique), ni lissage spline applicable (build_spline_alpha_mask.py n'ajuste que la plus grande silhouette fermee et supprimerait le branchage). x4 SeedVR2 7B/LAB produit le 2026-08-28 (run ar1400-all-bam-seedvr7b-lab-x4), techniquement sain : alpha strictement egal au plus proche voisin de la source, luminance intra-masque -0,5 a -0,8 % (SeedVR n'a pas eclairci), flag ARE Blended absent. ECARTE POUR UN DEFAUT DE RENDU, PAS POUR UN DEFAUT D'ASSET. Le chemin x4 des animations de zone lie une texture RGBA pre-cuite et ne recoit jamais la palette realisee par CVidPalette::Realize (le commentaire de src/iee/area_animation_x4_registry.h le dit explicitement : la composition creature la consomme, celle des animations de zone la laisse nulle). L'eclairage de zone n'est donc pas applique a notre texture alors qu'il l'est au BAM vanilla. Mesure sur les light maps du jeu, sur l'emprise de la ressource : facteur jour AR1400LM [0.842,0.842,0.864] soit 1,19x trop clair (imperceptible, QA de jour acceptee le 2026-08-28), facteur nuit AR1400LN [0.441,0.420,0.558] soit 2,27/2,38/1,79x trop clair donc aussi trop CHAUD (QA de nuit refusee le 2026-08-28, sur AR1400 comme sur AR1404). AR1404LM est identique octet pour octet a AR1400LN : AR1404 est en nuit permanente. Retire des packs des deux zones le 2026-08-28 ; AR1404 n'a plus aucun pack et le moteur y rend ses BAM d'origine (trace 'no pack for area AR1404' verifiee dans le journal). RESERVE, AMELIORATION POSSIBLE : la correction existe et est mesuree. pipeline/scripts/build_area_lightmap_pack.py re-applique l'eclairage (rgb = rgb * lightmap(monde)/255, alpha inchange) et ramene l'ecart a la colorimetrie vanilla de nuit de MAE 25,69/255 a 2,16/255. Essayee en jeu le 2026-08-28 sur 1400T005 seulement (temoin du lot) : rendu juge laid par l'utilisateur, non retenu ; les quatre autres arbres n'ont pas ete corriges. Limite structurelle : une texture cuite ne porte qu'un seul etat d'eclairage, donc corriger la nuit d'AR1400 rend le jour ~1,9x trop sombre ; seules les zones a eclairage fixe comme AR1404 sont pleinement recuperables par cette voie. Le vrai correctif est moteur : faire consommer au chemin x4 la palette realisee, comme le fait deja le chemin creature. Run x4, script et lot de test conserves (animations/packs-par-zone/combined-20260828-ar1400-t005-nightlight, essai limite a 1400T005). CONDITION DE REOUVERTURE : correctif moteur de l'eclairage, ou zone a eclairage fixe."
1400T003,écarté,AR1400;AR1404,2,1,255x255,BAM V1,,"Arbre nu des Ruines du temple, partage AR1400 (cycle jour/nuit) et AR1404 (nuit permanente). 1 frame, 255x255, alpha 1 bit, silhouette eclatee (29 a 342 composantes, 116 a 580 trous) : ni interpolation 30 fps possible (frame unique), ni lissage spline applicable (build_spline_alpha_mask.py n'ajuste que la plus grande silhouette fermee et supprimerait le branchage). x4 SeedVR2 7B/LAB produit le 2026-08-28 (run ar1400-all-bam-seedvr7b-lab-x4), techniquement sain : alpha strictement egal au plus proche voisin de la source, luminance intra-masque -0,5 a -0,8 % (SeedVR n'a pas eclairci), flag ARE Blended absent. ECARTE POUR UN DEFAUT DE RENDU, PAS POUR UN DEFAUT D'ASSET. Le chemin x4 des animations de zone lie une texture RGBA pre-cuite et ne recoit jamais la palette realisee par CVidPalette::Realize (le commentaire de src/iee/area_animation_x4_registry.h le dit explicitement : la composition creature la consomme, celle des animations de zone la laisse nulle). L'eclairage de zone n'est donc pas applique a notre texture alors qu'il l'est au BAM vanilla. Mesure sur les light maps du jeu, sur l'emprise de la ressource : facteur jour AR1400LM [0.842,0.842,0.864] soit 1,19x trop clair (imperceptible, QA de jour acceptee le 2026-08-28), facteur nuit AR1400LN [0.441,0.420,0.558] soit 2,27/2,38/1,79x trop clair donc aussi trop CHAUD (QA de nuit refusee le 2026-08-28, sur AR1400 comme sur AR1404). AR1404LM est identique octet pour octet a AR1400LN : AR1404 est en nuit permanente. Retire des packs des deux zones le 2026-08-28 ; AR1404 n'a plus aucun pack et le moteur y rend ses BAM d'origine (trace 'no pack for area AR1404' verifiee dans le journal). RESERVE, AMELIORATION POSSIBLE : la correction existe et est mesuree. pipeline/scripts/build_area_lightmap_pack.py re-applique l'eclairage (rgb = rgb * lightmap(monde)/255, alpha inchange) et ramene l'ecart a la colorimetrie vanilla de nuit de MAE 25,69/255 a 2,16/255. Essayee en jeu le 2026-08-28 sur 1400T005 seulement (temoin du lot) : rendu juge laid par l'utilisateur, non retenu ; les quatre autres arbres n'ont pas ete corriges. Limite structurelle : une texture cuite ne porte qu'un seul etat d'eclairage, donc corriger la nuit d'AR1400 rend le jour ~1,9x trop sombre ; seules les zones a eclairage fixe comme AR1404 sont pleinement recuperables par cette voie. Le vrai correctif est moteur : faire consommer au chemin x4 la palette realisee, comme le fait deja le chemin creature. Run x4, script et lot de test conserves (animations/packs-par-zone/combined-20260828-ar1400-t005-nightlight, essai limite a 1400T005). CONDITION DE REOUVERTURE : correctif moteur de l'eclairage, ou zone a eclairage fixe."
1400T004,écarté,AR1400;AR1404,2,1,255x255,BAM V1,,"Arbre nu des Ruines du temple, partage AR1400 (cycle jour/nuit) et AR1404 (nuit permanente). 1 frame, 255x255, alpha 1 bit, silhouette eclatee (29 a 342 composantes, 116 a 580 trous) : ni interpolation 30 fps possible (frame unique), ni lissage spline applicable (build_spline_alpha_mask.py n'ajuste que la plus grande silhouette fermee et supprimerait le branchage). x4 SeedVR2 7B/LAB produit le 2026-08-28 (run ar1400-all-bam-seedvr7b-lab-x4), techniquement sain : alpha strictement egal au plus proche voisin de la source, luminance intra-masque -0,5 a -0,8 % (SeedVR n'a pas eclairci), flag ARE Blended absent. ECARTE POUR UN DEFAUT DE RENDU, PAS POUR UN DEFAUT D'ASSET. Le chemin x4 des animations de zone lie une texture RGBA pre-cuite et ne recoit jamais la palette realisee par CVidPalette::Realize (le commentaire de src/iee/area_animation_x4_registry.h le dit explicitement : la composition creature la consomme, celle des animations de zone la laisse nulle). L'eclairage de zone n'est donc pas applique a notre texture alors qu'il l'est au BAM vanilla. Mesure sur les light maps du jeu, sur l'emprise de la ressource : facteur jour AR1400LM [0.842,0.842,0.864] soit 1,19x trop clair (imperceptible, QA de jour acceptee le 2026-08-28), facteur nuit AR1400LN [0.441,0.420,0.558] soit 2,27/2,38/1,79x trop clair donc aussi trop CHAUD (QA de nuit refusee le 2026-08-28, sur AR1400 comme sur AR1404). AR1404LM est identique octet pour octet a AR1400LN : AR1404 est en nuit permanente. Retire des packs des deux zones le 2026-08-28 ; AR1404 n'a plus aucun pack et le moteur y rend ses BAM d'origine (trace 'no pack for area AR1404' verifiee dans le journal). RESERVE, AMELIORATION POSSIBLE : la correction existe et est mesuree. pipeline/scripts/build_area_lightmap_pack.py re-applique l'eclairage (rgb = rgb * lightmap(monde)/255, alpha inchange) et ramene l'ecart a la colorimetrie vanilla de nuit de MAE 25,69/255 a 2,16/255. Essayee en jeu le 2026-08-28 sur 1400T005 seulement (temoin du lot) : rendu juge laid par l'utilisateur, non retenu ; les quatre autres arbres n'ont pas ete corriges. Limite structurelle : une texture cuite ne porte qu'un seul etat d'eclairage, donc corriger la nuit d'AR1400 rend le jour ~1,9x trop sombre ; seules les zones a eclairage fixe comme AR1404 sont pleinement recuperables par cette voie. Le vrai correctif est moteur : faire consommer au chemin x4 la palette realisee, comme le fait deja le chemin creature. Run x4, script et lot de test conserves (animations/packs-par-zone/combined-20260828-ar1400-t005-nightlight, essai limite a 1400T005). CONDITION DE REOUVERTURE : correctif moteur de l'eclairage, ou zone a eclairage fixe."
1400T005,écarté,AR1400;AR1404,2,1,255x255,BAM V1,,"Arbre nu des Ruines du temple, partage AR1400 (cycle jour/nuit) et AR1404 (nuit permanente). 1 frame, 255x255, alpha 1 bit, silhouette eclatee (29 a 342 composantes, 116 a 580 trous) : ni interpolation 30 fps possible (frame unique), ni lissage spline applicable (build_spline_alpha_mask.py n'ajuste que la plus grande silhouette fermee et supprimerait le branchage). x4 SeedVR2 7B/LAB produit le 2026-08-28 (run ar1400-all-bam-seedvr7b-lab-x4), techniquement sain : alpha strictement egal au plus proche voisin de la source, luminance intra-masque -0,5 a -0,8 % (SeedVR n'a pas eclairci), flag ARE Blended absent. ECARTE POUR UN DEFAUT DE RENDU, PAS POUR UN DEFAUT D'ASSET. Le chemin x4 des animations de zone lie une texture RGBA pre-cuite et ne recoit jamais la palette realisee par CVidPalette::Realize (le commentaire de src/iee/area_animation_x4_registry.h le dit explicitement : la composition creature la consomme, celle des animations de zone la laisse nulle). L'eclairage de zone n'est donc pas applique a notre texture alors qu'il l'est au BAM vanilla. Mesure sur les light maps du jeu, sur l'emprise de la ressource : facteur jour AR1400LM [0.842,0.842,0.864] soit 1,19x trop clair (imperceptible, QA de jour acceptee le 2026-08-28), facteur nuit AR1400LN [0.441,0.420,0.558] soit 2,27/2,38/1,79x trop clair donc aussi trop CHAUD (QA de nuit refusee le 2026-08-28, sur AR1400 comme sur AR1404). AR1404LM est identique octet pour octet a AR1400LN : AR1404 est en nuit permanente. Retire des packs des deux zones le 2026-08-28 ; AR1404 n'a plus aucun pack et le moteur y rend ses BAM d'origine (trace 'no pack for area AR1404' verifiee dans le journal). RESERVE, AMELIORATION POSSIBLE : la correction existe et est mesuree. pipeline/scripts/build_area_lightmap_pack.py re-applique l'eclairage (rgb = rgb * lightmap(monde)/255, alpha inchange) et ramene l'ecart a la colorimetrie vanilla de nuit de MAE 25,69/255 a 2,16/255. Essayee en jeu le 2026-08-28 sur ce resref : rendu juge laid par l'utilisateur, non retenu. Limite structurelle : une texture cuite ne porte qu'un seul etat d'eclairage, donc corriger la nuit d'AR1400 rend le jour ~1,9x trop sombre ; seules les zones a eclairage fixe comme AR1404 sont pleinement recuperables par cette voie. Le vrai correctif est moteur : faire consommer au chemin x4 la palette realisee, comme le fait deja le chemin creature. Run x4, script et lot de test conserves (animations/packs-par-zone/combined-20260828-ar1400-t005-nightlight, essai limite a 1400T005). CONDITION DE REOUVERTURE : correctif moteur de l'eclairage, ou zone a eclairage fixe."
AM0033AB,validé-x4,AR0315;AR0527;AR0710;AR3026;AR6012,5,7,154x110,BAM V1,am0033ab-apo8-x4-30fps-v2-spline-fit1-feather6,"Bassin d'eau sombre partagé AR0315/AR0527/AR0710/AR3026/AR6012 ; x4 SeedVR2 7B/LAB (run am0033ab-seedvr7b-lab-x4) ; V2 TimedTimeline 30 FPS apo-8 (run am0033ab-apo8-x4-30fps-v2) ; 7 frames natives -> 14 frames (14 phases) ; masque alpha = spline périodique fit-error 1.0 (padding 32 px x4 pour fermer le contour touchant le bord du canvas) puis fondu intérieur de silhouette 6 px x4 ; répété sur les 14 phases, alpha_final = alpha_source * masque / 255, RGB inchangé ; run dérivé am0033ab-spline-fit1-feather6-30fps-v2 ; livré par pack de zone ; QA en jeu validée par l'utilisateur le 2026-08-27 sur zones SoA + AR6012 (ToB) ; réserve mineure reportée en fin de projet : fin liseré sombre sur la facette gauche, présent depuis le x4 RGB (non causé par la correction alpha), jugé acceptable ; installation réversible."
AM003XA,non-traité,AR0021;AR0313;AR0529;AR0713;AR1611;AR5015,6,9,66x64,BAM V1,,
AM0202A,non-traité,AR0202,1,6,197x210,BAM V1,,
AM0202FL,non-traité,AR0202;AR0331;AR0526,21,20,84x74,BAM V1,,
AM0205A,validé-x4,AR0205,1,9,120x175,BAM V1,am0205a-interpolation-27f-15fps-canvas32,Pod ; interpolation x4 de 27 frames adressée sur les 27 positions du cycle BAM à 15 FPS et boucle de 1.8 s ; fade canvas 32 px x4 sur quatre bords ; validé en jeu le 2026-08-21 ; patchs réversibles.
